node,deg,deg_norm,betweenness,eigenvector,pagerank,community
customer,18,0.0026015320132967193,2.826277635644929e-07,0.00555945328507805,6.77374409863456e-05,2
customise,10,0.0014452955629426219,5.604362245481622e-09,0.00340274824673324,4.8768048765969484e-05,3
customizable,10,0.0014452955629426219,5.2395103971907054e-08,0.0032460106646764824,5.3981420476251416e-05,1
customization,32,0.00462494580141639,1.9292547305401027e-06,0.007786294748449276,8.914401554216915e-05,3
customize,78,0.01127330539095245,1.2420857794794195e-05,0.01525926782332034,0.00015378914604643188,3
cut,118,0.017054487642722937,6.429522619579076e-05,0.017204606813163905,0.0002386100819991194,2
cutoff,45,0.006503830033241798,8.168077696651322e-06,0.008900244345706682,0.0001366085070395289,2
cutter,39,0.005636652695476225,2.1990470325454057e-05,0.008257542694359075,0.00011957325996434468,3
cvd,61,0.008816302933949994,6.02466402753537e-05,0.010235218363474035,0.00017795892380325214,7
cycle,152,0.02196849255672785,7.524365772487626e-05,0.020918444925343418,0.00027439074145691226,6
cycling,8,0.0011562364503540975,1.7563258961984932e-06,0.0019984705118554595,4.852593462996155e-05,1
cyp3a4,9,0.0013007660066483597,3.4767215936304074e-08,0.002995778025117854,4.728700076969741e-05,7
cypinate,8,0.0011562364503540975,6.141251045987189e-08,0.001853889131974743,5.427339164316592e-05,1
cypionate,106,0.01532013296719179,6.797400613402959e-05,0.015059069787025899,0.00022577918737218925,1
cypre,10,0.0014452955629426219,2.2874274221684895e-07,0.0017021168999001373,7.03345661284566e-05,11
czub,20,0.0028905911258852437,0.000209427780986195,0.003421881674814731,0.00011977442547623738,11
d.c,10,0.0014452955629426219,6.931146641078713e-06,0.002064971531627301,7.090392497417749e-05,11
d.c.—has,10,0.0014452955629426219,1.4609262073422723e-08,0.0033321076846364417,4.824085605657838e-05,0
dab,10,0.0014452955629426219,3.2485403947030084e-07,0.002349353032370656,6.764584629953947e-05,0
dabaja,90,0.013007660066483595,2.7382109892313527e-05,0.015103878230418413,0.00018473390776678779,3
dad,9,0.0013007660066483597,3.5806286668442302e-09,0.0029557825945570326,4.451471929088648e-05,0
daily,344,0.04971816736522619,0.0011952634124377456,0.03230368357848432,0.000552008079267292,1
daily.432,10,0.0014452955629426219,2.265969608866229e-07,0.002370162445087555,6.300734092608997e-05,1
dairy,20,0.0028905911258852437,5.0999771396796724e-06,0.00448155409459313,9.180294403791036e-05,9
dalhousie,7,0.0010117068940598353,5.969089179129483e-09,0.0011174255915143661,5.936834238292479e-05,11
damage,175,0.02529267235149588,0.00016582811787965786,0.02046785564206966,0.0002945281577255018,7
damaging,27,0.003902298019945079,8.670142135532844e-06,0.005386246407582721,0.00011410787481143791,7
dampen,9,0.0013007660066483597,1.2171562355291058e-08,0.0028995925603843703,4.53107172684902e-05,6
dan,10,0.0014452955629426219,9.392064627778109e-08,0.0018440512945751305,6.589030380433234e-05,11
